Fund Name,Primary ISIN,Asset Class,SFDR,Legal Structure,Share Classes,Has Objective,Benchmark
"Allianz Dynamic Allocation Plus Equity",LU2243729576,Equity,Article 8,SICAV,8,N,""
"Allianz Euro Bond Short Term 1-3 Plus",LU1221649186,Fixed Income,Article 8,SICAV,3,N,""
"Allianz Global Hi-Tech Growth",LU0348723411,Equity,Article 8,SICAV,4,N,""
"Allianz China Equity",LU1339317080,Equity,Article 8,SICAV,15,N,""
"Allianz Global Government Bond",LU1720048062,Fixed Income,Article 6,SICAV,2,N,""
"Allianz Best Styles Global AC Equity",LU1387904524,Equity,Article 6,SICAV,5,N,""
"Allianz Selection Alternative",LU1418653660,Multi Asset,Article 6,SICAV,2,N,""
"Allianz Global Aggregate Bond",LU1720047171,Fixed Income,Article 6,SICAV,3,N,""
"Best-in-One",LU0072229809,Multi Asset,Article 6,FCP,1,N,""
"Allianz PIMCO High Yield Income Fund",LU0087342167,Fixed Income,Article 6,FCP,1,N,""
"Allianz Selection Fixed Income",LU1418646292,Fixed Income,Article 8,SICAV,2,N,""
"Allianz Strategy 75",LU1906304982,Multi Asset,Article 8,SICAV,8,N,""
